"ｺｰﾄﾞ","勘定科目名","31年  1月","31年  2月","31年  3月","31年  4月"," 1年  5月"," 1年  6月"," 1年  7月"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"
"4111","プレイ売上高","4,723,665","4,071,306","4,930,391","5,010,179","5,406,890","4,571,081","4,655,631","4,366,784","4,341,417","4,614,497","4,505,970","4,251,316"
"4112","会員券売上高","205,552","182,407","377,775","275,922","254,627","197,223","288,886","159,258","381,480","238,911","132,184","271,096"
"4113","ゴルフ用品・雑貨売上高","118,888","167,550","96,737","75,037","72,814","116,368","66,106","79,851","79,473","68,974","118,884","45,378"
"4114","手数料収入","157,867","152,514","163,077","141,762","657,066","206,406","166,833","143,738","165,243","712,573","158,390","159,620"
"4115","ポイント値引・入会金返金(△)","688,843","596,813","642,632","690,861","643,173","528,715","625,940","555,184","678,433","722,322","647,338","790,417"
,"純売上高","4,517,129","3,976,964","4,925,348","4,812,039","5,748,224","4,562,363","4,551,516","4,194,447","4,289,180","4,912,633","4,268,090","3,936,993"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","215,255","0","0","0"
"5211","商品仕入高","52,131","117,872","64,314","45,844","28,374","36,933","157,558","27,221","65,323","15,018","72,838","23,335"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期製品製造原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","248,274","0","0","0"
,"当期売上原価","52,131","117,872","64,314","45,844","28,374","36,933","157,558","27,221","32,304","15,018","72,838","23,335"
,"売上総利益","4,464,998","3,859,092","4,861,034","4,766,195","5,719,850","4,525,430","4,393,958","4,167,226","4,256,876","4,897,615","4,195,252","3,913,658"
"6111","プロ報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6311","雑給","541,935","530,760","624,465","634,685","614,185","675,685","687,205","653,705","632,360","622,378","626,481","656,406"
"6112","旅費交通費","0","0","10,881","7,861","0","0","9,158","0","0","0","0","0"
"6113","広告宣伝費","82,594","73,500","73,500","73,500","103,500","73,500","73,500","78,500","120,690","116,341","234,000","478,500"
"6114","教育訓練費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","接客サービス費","171,093","258,409","249,273","164,965","693,142","268,185","179,710","228,911","412,166","441,900","506,202","166,399"
"6116","コンペ参加諸費","13,683","13,868","12,156","12,349","0","27,315","11,988","30,136","13,691","0","13,445","27,293"
"6117","プレイ器具費","25,000","25,000","25,000","433,600","40,700","25,000","33,000","25,000","37,263","242,087","31,300","2,819,000"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","252,000","252,000","252,000","302,000","252,000","252,000","252,000","252,000","291,528","252,000","252,000","252,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","社員給与","1,019,224","1,020,800","1,065,964","1,069,314","1,079,812","1,034,180","1,083,360","1,009,728","1,059,237","1,042,467","984,778","1,073,189"
"6213","従業員賞与","62,000","62,000","62,000","62,000","62,000","62,000","62,000","62,000","-106,570","50,000","50,000","57,565"
"6312","法定福利費","177,307","341,396","216,666","217,518","173,065","335,520","173,254","173,066","106,150","210,583","203,349","159,851"
"6226","厚生費","6,326","25,074","6,555","6,555","6,555","8,037","6,555","17,851","6,555","14,988","9,282","15,021"
"6119","退職手当等","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","182,000","182,000","182,000","182,000","182,000","182,000","182,000","182,000","282,738","170,000","170,000","170,000"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃・リース料","677,307","677,307","541,809","677,307","812,805","676,007","677,307","677,307","690,496","677,307","677,306","1,854,427"
"6216","修繕費","28,960","225,539","425,926","461,400","19,500","0","0","92,593","128,741","160,000","9,551","40,000"
"6217","事務用消耗品費","9,242","16,682","16,711","16,335","27,035","5,279","13,962","13,331","22,815","7,840","7,539","21,840"
"6218","通信交通費","56,445","52,199","61,974","62,277","55,183","57,630","58,711","56,855","43,922","61,356","55,591","56,636"
"6219","水道光熱費","191,024","183,910","192,693","152,908","151,858","119,238","168,728","144,797","156,643","142,009","116,816","158,667"
"6221","租税公課","0","74,000","0","0","78,100","0","77,000","0","6,000","0","0","77,000"
"6222","会議費","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","5,000","0","1,934","0","3,000","11,461","17,031","2,111","11,522","-185","7,121"
"6224","保険料","62,360","60,780","0","48,210","0","0","0","0","329,826","0","33,760","0"
"6225","備品消耗品費","42,589","62,578","16,702","49,865","36,920","151,627","23,187","235,507","33,357","18,273","40,320","44,334"
"6227","管理諸費","277,420","70,800","70,800","70,800","150,800","70,800","70,800","70,800","130,800","70,800","589,250","70,800"
"6228","寄付金","0","0","0","0","5,000","0","0","0","30,000","5,000","5,000","0"
"6229","その他の一般管理費","47,000","17,000","17,000","17,000","17,000","17,000","17,000","17,000","17,217","16,783","17,000","17,000"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","1,028","0","0","0"
"6231","雑費","54,527","8,809","5,592","16,294","23,144","18,337","59,720","4,553","13,560","28,932","15,236","7,914"
,"販売費及び一般管理費計","3,980,036","4,239,411","4,129,667","4,740,677","4,584,304","4,062,340","3,931,606","4,042,671","4,462,324","4,362,566","4,648,021","8,230,963"
,"営業利益（損失）","484,962","-380,319","731,367","25,518","1,135,546","463,090","462,352","124,555","-205,448","535,049","-452,769","-4,317,305"
"7111","受取利息","0","57","0","0","0","0","0","40","8","0","0","0"
"7112","受入家賃","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000"
"7113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","424","0","0","903,060","-853,400","0","112","0"
,"営業外収益計","30,000","30,057","30,000","30,000","30,424","30,000","30,000","933,100","-823,392","30,000","30,112","30,000"
"7511","支払利息割引料","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7513",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7514",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","270","230","370","2,180","1,650","1,450","-80","-370","-1,310","460","1,300","10"
,"営業外費用計","270","230","370","2,180","1,650","1,450","-80","-370","-1,310","460","1,300","10"
,"経常利益（損失）","514,692","-350,492","760,997","53,338","1,164,320","491,640","492,432","1,058,025","-1,027,530","564,589","-423,957","-4,287,315"

