"ｺｰﾄﾞ","勘定科目名"," 2年  7月"," 2年  8月"," 2年  9月"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"
"4111","売上高","212,369,088","215,819,776","208,092,697","251,172,672","251,852,232","257,493,074","194,331,360","171,430,080","240,778,748","186,702,876","200,378,252","183,140,731"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","969,173","1,025,752","1,067,953","1,136,087","920,681","936,594","329,842","925,070","848,978","751,864","794,574","730,408"
,"純売上高","211,399,915","214,794,024","207,024,744","250,036,585","250,931,551","256,556,480","194,001,518","170,505,010","239,929,770","185,951,012","199,583,678","182,410,323"
"5111","期首たな卸高","52,207,858","51,745,924","47,160,451","41,999,188","41,263,187","44,605,773","58,761,006","42,140,668","39,627,600","43,294,834","47,006,889","42,437,720"
"5211","商品仕入高","77,863,636","73,048,346","69,314,851","87,835,858","91,565,418","110,993,961","53,697,466","60,064,082","89,798,619","73,580,921","67,770,142","70,443,068"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","51,745,924","47,160,451","41,999,188","41,263,187","44,605,773","58,761,006","42,140,668","39,627,600","43,294,834","47,006,889","42,437,720","42,578,610"
,"当期売上原価","78,325,570","77,633,819","74,476,114","88,571,859","88,222,832","96,838,728","70,317,804","62,577,150","86,131,385","69,868,866","72,339,311","70,302,178"
,"売上総利益","133,074,345","137,160,205","132,548,630","161,464,726","162,708,719","159,717,752","123,683,714","107,927,860","153,798,385","116,082,146","127,244,367","112,108,145"
"6111","給与手当","27,687,555","27,159,389","26,581,792","27,383,148","27,537,115","27,136,601","26,501,304","26,133,701","26,086,451","26,438,112","26,155,274","25,102,970"
"6311","雑給","33,554,934","34,522,483","34,351,796","36,369,958","36,011,624","37,438,648","32,219,841","26,551,828","31,238,144","28,242,588","28,500,395","26,907,918"
"6112","旅費交通費","1,716,523","1,717,435","1,761,313","1,983,247","1,949,834","1,688,541","1,734,335","1,322,295","1,831,742","1,511,197","1,763,992","1,542,684"
"6113","広告宣伝費","9,796,653","10,618,501","10,547,565","12,891,555","13,237,569","14,926,644","11,836,743","9,167,465","12,931,736","11,029,585","8,043,312","7,426,114"
"6114","販売促進費","1,101,299","1,327,573","1,446,032","1,079,482","2,307,983","2,463,507","1,974,011","3,614,362","2,366,897","3,238,687","2,182,404","2,205,397"
"6115","荷造発送費","292,920","296,490","277,601","299,923","270,823","304,502","255,660","235,234","300,118","287,051","345,686","315,983"
"6116","外注費","9,091","0","0","0","0","18,182","0","0","0","0","0","0"
"6117","支払手数料","8,498,033","8,842,202","9,466,972","10,160,767","10,212,566","10,776,608","9,270,666","7,963,757","9,790,538","9,251,450","8,988,002","9,015,276"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","5,145,000","0","0","0","0","0","1,700,000"
"6312","法定福利費","5,176,147","5,140,400","5,293,938","5,384,630","5,384,630","6,045,174","5,327,276","5,303,917","5,314,690","5,304,049","5,244,574","5,325,700"
"6226","厚生費","1,353,682","940,120","1,106,376","1,196,209","1,708,317","239,995","281,697","54,713","613,227","511,835","309,572","1,181,492"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","8,106,006","8,106,006","16,411,618","7,745,934","7,745,934","7,745,934","7,745,934","7,745,934","7,745,934","7,745,934","7,745,934","7,745,934"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","21,215,875","21,300,703","20,327,708","20,132,578","20,816,359","21,055,417","20,538,981","20,007,760","19,629,007","19,746,313","19,887,812","19,854,048"
"6216","修繕／車両関係費","371,345","739,240","1,809,553","1,602,490","1,375,700","296,500","1,294,065","1,139,145","631,760","1,476,990","1,575,500","1,847,522"
"6217","事務用消耗品費","66,950","62,674","35,841","58,265","51,999","81,135","67,933","23,040","92,213","109,324","46,109","44,699"
"6218","通信交通費","353,959","368,767","391,357","201,806","612,155","185,255","585,814","334,283","719,149","377,284","400,579","359,451"
"6219","水道光熱費","8,755,058","10,260,961","14,030,905","10,205,754","9,244,946","8,042,409","9,805,260","8,755,057","8,704,893","8,267,576","9,007,562","8,942,590"
"6221","租税公課","17,891","14,000","4,600","9,000","8,000","13,150","109,900","0","11,900","3,000","9,000","2,900"
"6222","寄付金","0","90,000","0","0","30,000","0","10,000","0","0","69,000","40,000","14,000"
"6223","接待交際費","1,000","4,200","3,234","24,222","0","3,200","4,509","0","0","4,949","1,580","0"
"6224","保険料","891,067","891,067","922,731","876,067","891,067","876,067","891,067","891,067","891,067","891,067","891,067","906,067"
"6225","備品消耗品費","7,356,461","9,467,384","14,466,699","8,563,114","10,692,618","11,123,793","6,104,847","6,094,610","13,995,471","11,493,414","11,067,489","7,572,560"
"6227","管理諸費","3,230,951","2,484,977","3,214,057","3,000,153","2,030,894","2,646,649","2,569,365","2,333,193","2,382,354","2,913,357","3,770,396","4,019,473"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","114,800","50,800","42,800","116,300","63,800","98,800","124,200","105,800","50,300","126,300","73,800","93,800"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","17,150","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","4,213","17,199","0","30,195","20,290","0","11,485","19,249","4,000","0"
,"販売費及び一般管理費計","139,668,200","144,405,372","162,498,701","149,318,951","152,183,933","158,381,906","139,273,698","127,777,161","145,339,076","139,058,311","136,054,039","132,126,578"
,"営業利益（損失）","-6,593,855","-7,245,167","-29,950,071","12,145,775","10,524,786","1,335,846","-15,589,984","-19,849,301","8,459,309","-22,976,165","-8,809,672","-20,018,433"
"7111","受取利息","0","164","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","408,305","333,870","357,880","346,807","749,408","2,531,841","509,507","1,494,133","2,835,862","416,354","1,353,271","462,290"
,"営業外収益計","408,305","334,034","357,880","346,807","749,408","2,531,841","509,507","1,494,133","2,835,862","416,354","1,353,271","462,290"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","1,301","21,121","426","3,417","-2,635","540","-46","-308","-632","0","1,100","2,888"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","8,063,407","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","1,301","21,121","8,063,833","3,417","-2,635","540","-46","-308","-632","0","1,100","2,888"
,"経常利益（損失）","-6,186,851","-6,932,254","-37,656,024","12,489,165","11,276,829","3,867,147","-15,080,431","-18,354,860","11,295,803","-22,559,811","-7,457,501","-19,559,031"
